order_detail_id,order_date,product_id,customer_id,origin_id,quantity,unitprice_rupiah,totalprice_rupiah,totalcost_rupiah,shippingprice_rupiah,product_name,model_name,color,size_range,sub_category,category,customer_name,gender,maritalstatus,birthdate,customer_city,customer_country,territory_region,territory_country,territory_groups
SO43926-1,2016-03-08,351,11055,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Gilbert Raje,M,M,1972-05-03,East Brisbane,Australia,Australia,Australia,Pacific
SO43933-1,2016-04-08,347,11031,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Theresa Ramos,F,M,1968-10-08,Matraville,Australia,Australia,Australia,Pacific
SO43934-1,2016-04-08,346,11034,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Ebony Gonzalez,F,M,1968-07-06,North Sydney,Australia,Australia,Australia,Pacific
SO43941-1,2016-06-08,314,13600,10,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Marie Sanz,F,M,1972-07-02,Watford,United Kingdom,United Kingdom,United Kingdom,Europe
SO43944-1,2016-06-08,344,11054,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Deanna Munoz,F,M,1972-10-03,Geelong,Australia,Australia,Australia,Pacific
SO43948-1,2016-06-08,345,11047,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 42",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Jaclyn Lu,F,M,1972-03-02,Geelong,Australia,Australia,Australia,Pacific
SO43949-1,2016-07-08,310,27726,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Sophia Hall,F,S,2002-02-03,Lemon Grove,United States,Southwest,United States,North America
SO43950-1,2016-07-08,311,28014,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Rachel Robinson,F,S,1965-11-10,Beverly Hills,United States,Southwest,United States,North America
SO43954-1,2016-08-08,311,13602,10,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Virginia Mehta,F,M,1971-05-05,Billericay,United Kingdom,United Kingdom,United Kingdom,Europe
SO43956-1,2016-08-08,344,11030,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Bethany Yuan,F,M,1968-10-02,Cloverdale,Australia,Australia,Australia,Pacific
SO43959-1,2016-09-08,348,11035,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Wendy Dominguez,F,M,1969-12-02,Cranbourne,Australia,Australia,Australia,Pacific
SO43960-1,2016-09-08,349,11046,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 42",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Christine Yuan,F,M,1971-10-03,Lavender Bay,Australia,Australia,Australia,Pacific
SO43965-1,2016-10-08,351,11038,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Diana Hernandez,F,M,1969-11-03,Lavender Bay,Australia,Australia,Australia,Pacific
SO43966-1,2016-10-08,347,11039,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Marc Martin,M,M,1969-05-12,Wollongong,Australia,Australia,Australia,Pacific
SO43967-1,2016-11-08,313,28040,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Jack Mitchell,M,M,1970-10-02,Everett,United States,Northwest,United States,North America
SO43973-1,2016-12-08,312,28039,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Xavier Lee,M,S,1968-02-09,Palo Alto,United States,Southwest,United States,North America
SO43975-1,2016-12-08,312,13540,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Paula Ortega,F,M,1980-06-03,Erlangen,Germany,Germany,Germany,Europe
SO43980-1,2017-01-08,351,11048,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Jeremy Powell,M,M,1971-10-11,Sunbury,Australia,Australia,Australia,Pacific
SO43983-1,2017-02-08,314,28017,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Christopher Martin,M,S,1966-12-06,Bremerton,United States,Northwest,United States,North America
SO43987-1,2017-03-08,310,28042,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Joseph Brown,M,S,1970-03-04,Concord,United States,Southwest,United States,North America
SO43988-1,2017-03-08,344,11244,10,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Alexis Coleman,F,S,1979-02-11,Runcorn,United Kingdom,United Kingdom,United Kingdom,Europe
SO43994-1,2017-06-08,314,27681,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Olivia Jackson,F,M,1971-10-06,Chula Vista,United States,Southwest,United States,North America
SO43997-1,2017-06-08,310,28022,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Jason Lopez,M,S,1966-12-06,Downey,United States,Southwest,United States,North America
SO43998-1,2017-06-08,348,11033,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Jaime Nath,M,M,1968-11-09,Milsons Point,Australia,Australia,Australia,Pacific
SO43999-1,2017-06-08,311,28047,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Jay Sanchez,M,S,1971-08-12,Beaverton,United States,Northwest,United States,North America
SO44001-1,2017-07-08,313,28044,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Jimmy Navarro,M,S,1969-12-07,Concord,United States,Southwest,United States,North America
SO44005-1,2017-07-08,334,26629,6,1,9787375,9787375,5784048,244685,"Road-650 Black, 60",Road-650,Black,60-62 CM,Road Bikes,Bikes,Miranda Price,F,M,1980-06-02,Metchosin,Canada,Canada,Canada,North America
SO44008-1,2017-08-08,312,27678,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Angel Carter,M,S,1971-11-09,Lake Oswego,United States,Northwest,United States,North America
SO44009-1,2017-08-08,314,27759,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Alexandria Brooks,F,S,1985-10-05,Renton,United States,Northwest,United States,North America
SO44012-1,2017-08-08,349,11052,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 42",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Heidi Lopez,F,S,1971-07-08,Matraville,Australia,Australia,Australia,Pacific
SO44014-1,2017-09-08,313,27917,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Andrea Sanders,F,S,1993-02-11,Long Beach,United States,Southwest,United States,North America
SO44016-1,2017-09-08,350,11247,10,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Claudia Zhou,F,S,1976-06-06,Lancaster,United Kingdom,United Kingdom,United Kingdom,Europe
SO44021-1,2017-09-08,348,11032,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Denise Stone,F,M,1967-11-06,Melbourne,Australia,Australia,Australia,Pacific
SO44029-1,2017-11-08,350,11050,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Alan Zheng,M,M,1971-07-09,Hobart,Australia,Australia,Australia,Pacific
SO44030-1,2017-12-08,311,12131,7,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Randall Dominguez,M,M,1976-05-10,Dunkerque,France,France,France,Europe
SO44032-1,2017-12-08,344,11243,10,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Robin Alvarez,F,M,1977-09-10,Esher-Molesey,United Kingdom,United Kingdom,United Kingdom,Europe
SO44040-1,2018-01-08,351,11057,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Carl Andersen,M,M,1973-12-10,Lane Cove,Australia,Australia,Australia,Pacific
SO44056-1,2018-05-08,314,13559,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Lori Ramos,F,S,1990-05-06,Berlin,Germany,Germany,Germany,Europe
SO44058-1,2018-05-08,350,11056,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Michele Nath,F,M,1973-03-04,Newcastle,Australia,Australia,Australia,Pacific
SO44062-1,2018-06-08,310,28041,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Rebecca Wright,F,S,1969-02-05,Olympia,United States,Northwest,United States,North America
SO44063-1,2018-06-08,344,11240,10,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Anne Hernandez,F,M,1978-11-12,Watford,United Kingdom,United Kingdom,United Kingdom,Europe
SO44068-1,2018-07-08,313,13541,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Ashlee Xu,F,M,1980-12-08,Hannover,Germany,Germany,Germany,Europe
SO44073-1,2018-07-08,351,11044,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Adam Flores,M,M,1970-12-05,Hervey Bay,Australia,Australia,Australia,Pacific
SO44143-1,2016-02-09,313,28145,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Brandon Jones,M,S,1994-11-11,Burbank,United States,Southwest,United States,North America
SO44148-1,2016-03-09,310,28172,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Charles Moore,M,M,1983-03-11,Burbank,United States,Southwest,United States,North America
SO44152-1,2016-04-09,346,11334,10,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Nicole Brown,F,M,1982-10-03,Stoke-on-Trent,United Kingdom,United Kingdom,United Kingdom,Europe
SO44153-1,2016-04-09,312,28168,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Jacqueline Ward,F,M,1981-10-10,Long Beach,United States,Southwest,United States,North America
SO44154-1,2016-04-09,311,28181,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Katherine Rodriguez,F,M,1980-06-03,Lebanon,United States,Northwest,United States,North America
SO44159-1,2016-05-09,311,28182,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Fernando Turner,M,M,1980-05-09,Woodland Hills,United States,Southwest,United States,North America
SO44160-1,2016-05-09,312,28186,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Jenny Wagner,F,M,1980-06-02,Beaverton,United States,Northwest,United States,North America
SO44162-1,2016-06-09,311,28185,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Eric Alexander,M,M,1981-07-04,Burbank,United States,Southwest,United States,North America
SO44164-1,2016-06-09,310,28088,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Marshall Lal,M,M,2001-04-04,Bellflower,United States,Southwest,United States,North America
SO44169-1,2016-07-09,311,28179,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Billy Alvarez,M,S,1989-04-10,Beaverton,United States,Northwest,United States,North America
SO44170-1,2016-07-09,314,28183,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Nicole Howard,F,M,1980-04-07,Burbank,United States,Southwest,United States,North America
SO44171-1,2016-07-09,313,28112,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Savannah Evans,F,M,2001-10-07,Downey,United States,Southwest,United States,North America
SO44177-1,2016-09-09,350,11337,10,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Jerome Romero,M,M,1982-09-09,Watford,United Kingdom,United Kingdom,United Kingdom,Europe
SO44178-1,2016-09-09,312,28097,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Jennifer Barnes,F,S,1998-03-09,Chula Vista,United States,Southwest,United States,North America
SO44180-1,2016-09-09,347,11058,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Marc Diaz,M,M,1976-03-04,Findon,Australia,Australia,Australia,Pacific
